"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004192349928","https://ae04.alicdn.com/kf/S991485ea4afd425e9d066d338f649e70h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100015312001.mp4","V20 Mini Drone 6k Profesional HD Dual Camera fpv Drone Height Keep Drones Photography Rc Helicopter Foldable Quadcopter Dron Toy","USD 40.56","USD 18.25","55%","USD","11.0","USD 2.01","5","100.0%","https://s.click.aliexpress.com/e/_Dk2QkwL"
"1005003117815007","https://ae04.alicdn.com/kf/S3c38b9d4b764414bafb52c62e8a2dc24U.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/322342643285.mp4","Mini UFO Drone RC Helicopter Aircraft Toy Quadcopter Infrared Hand Sensing Interactive Flying Saucer RC Toys Golden /Red /Blue","USD 18.43","USD 12.90","30%","USD","7","USD 0.90","27","82.1%","https://s.click.aliexpress.com/e/_DD2fdRZ"
"1005004672199024","https://ae04.alicdn.com/kf/S44299a0a122d4b4db142793be28c834br.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083032362.mp4","New Drone 8K M5 Pro Profesional Drones With Camera HD 4K Mini Dron Quadcopt Obstacle Avoidance Aerial Photography RC Toys","USD 47.99","USD 28.79","40%","USD","7","USD 2.02","8","null%","https://s.click.aliexpress.com/e/_Dl5d8Jz"
"1005002452371436","https://ae04.alicdn.com/kf/H50ce5800744247839cd8f80f812db978u.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305461834741.mp4","E99 Professional HD 4k Drone With Camera Hight Hold Mode Foldable Mini WIFI RC Plane Helicopter Pro Dron Toys Quadcopter Drones","USD 26.51","USD 16.97","36%","USD","30.0","USD 5.09","26","77.1%","https://s.click.aliexpress.com/e/_DC2TcCR"
"1005004659456828","https://ae04.alicdn.com/kf/Sd7b7b3ce96434297b671f697a7b3b495i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100081865403.mp4","C127 2.4GHz RC Drone 720P Camera 6-Axis Wifi Sentry Helicopter Wide Angle Camera Single Paddle Without Ailerons Spy Drone RC Toy","USD 131.38","USD 63.06","52%","USD","8.0","USD 5.04","10","100.0%","https://s.click.aliexpress.com/e/_Dn0L0oP"
"1005002636697711","https://ae04.alicdn.com/kf/H7506f97594544f4aaa7225e916f7a23cD.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/284242747201.mp4","RC helicopter Military Fight Super Cool 3.5CH Remote Control war Aircraft Model RC Drone Helicopter Quadcopter Toys For kids","USD 28.55","USD 20.56","28%","USD","7","USD 1.44","25","56.0%","https://s.click.aliexpress.com/e/_DmO5Q2x"
"1005004296903173","https://ae04.alicdn.com/kf/S3e75cb9c28574064a9428f158890f053N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100068995647.mp4","2.4G C186 RC Helicopter 4 propellers 6 axis electronic gyroscope for stabilization TC Toy RC Drone","USD 20.45","USD 13.91","32%","USD","7","USD 0.97","44","100.0%","https://s.click.aliexpress.com/e/_DkWftNH"
"1005003931577871","https://ae04.alicdn.com/kf/U06f0c0babaff41a2b7864a4a895a25f8L.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/350152966878.mp4","Flying Ball Toys Kids RC Flying Hover Disco Ball Toy Remote Control Helicopter Drone Infrared Induction Gifts for Boys Girls","USD 7.95","USD 7.95","0%","USD","7","USD 0.56","41","86.2%","https://s.click.aliexpress.com/e/_DFTUfFh"
"1005002826910181","https://ae04.alicdn.com/kf/Se2f73a63dcba4e6b813080c46c9ccc760.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/266458424417.mp4","2022 NEW Mini Drone 4k Profesional HD Dual Camera Fpv WIFI Dron Follow Me Rc Drones Helicopter Quadcopter Toys","USD 39.98","USD 19.99","50%","USD","7","USD 1.40","100","90.9%","https://s.click.aliexpress.com/e/_Dexs3er"
"4000896275191","https://ae04.alicdn.com/kf/Sb7fd161b30f940a09471f36307492f30e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/226790360402.mp4","Eachine E016F 3-in-1 EPP Flying Air Boat Land Driving Mode Detachable One Key Return RC Quadcopter RTF","USD 50.96","USD 26.50","48%","USD","10.0","USD 2.65","30","92.7%","https://s.click.aliexpress.com/e/_DmfCUKx"
"1005004375644498","https://ae04.alicdn.com/kf/Sd7c082e5311944e59e580a983d51cca8R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100079455672.mp4","2022 New X6 pro Drone 4K professional HD camera 2.4G WIFI Fpv with Avoidance optical flow foldable quadcopter rc helicopter Toys","USD 67.48","USD 26.99","60%","USD","8.0","USD 2.16","114","98.6%","https://s.click.aliexpress.com/e/_DCbckgX"
"1005002688231527","https://ae04.alicdn.com/kf/S14fa9f667198455aabd8812dbafde1c0P.jpg",,"Professional KF106 MAX GPS Drone 8K EIS Camera 3-Axis Gimbal 360 Laser Obstacle Avoidance 5KM WIFI Brushless Motor RC Foldable","USD 235.99","USD 139.23","41%","USD","7","USD 9.75","148","90.0%","https://s.click.aliexpress.com/e/_DdC2xZN"
"1005004641192188","https://ae04.alicdn.com/kf/S742574668ee943c79458344c286dc356k.jpg",,"S604 PRO Drone GPS Global Positioning 4K Aerial HD Camera 5G Video WIFI APP RC Helicopter Professional Quadcopter Gift Adult","USD 115.98","USD 57.99","50%","USD","30.0","USD 17.40","4","null%","https://s.click.aliexpress.com/e/_DmaZI8f"
"1005001885121678","https://ae04.alicdn.com/kf/Ha13ab7c02c3146369e10c3877f758c1em.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/340958945217.mp4","WLtoys V912 Brushless Motor RC Helicopter 4CH 2.4G Single Blade Head Lamp Light RC Drone Brushless Big Helicopter RC Toys","USD 107.00","USD 86.67","19%","USD","7","USD 6.07","22","98.0%","https://s.click.aliexpress.com/e/_DEmtQDD"
"1005004562434274","https://ae04.alicdn.com/kf/S421fff51fbf84e418e045f47fff9faaet.jpg",,"LU9 Max GPS Drone 8K Dual HD Camera Professional Remot Control helicopter Brushless Motor Avoidance Foldable RC Quadcopter Toys","USD 224.98","USD 89.99","60%","USD","7","USD 6.30","53","null%","https://s.click.aliexpress.com/e/_DB3YARz"
"1005001388114536","https://ae04.alicdn.com/kf/Sb8411fb51f88486ca770cf7c1cbad2deC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/306423502442.mp4","4DRC V4 WIFI FPV Drone WiFi live video FPV 4K/1080P HD Wide Angle Camera Foldable Altitude Hold Durable RC Quadcopter","USD 44.22","USD 23.88","46%","USD","8.0","USD 1.91","4877","88.2%","https://s.click.aliexpress.com/e/_DBpDPXh"
